"filename","column_count","column_names","file_size_bytes","row_count","upload_timestamp"
"Trade_in_Low_Carbon_Technology_Products.csv","42","[{""S"":""﻿ObjectId""},{""S"":""Country""},{""S"":""ISO2""},{""S"":""ISO3""},{""S"":""Indicator""},{""S"":""Unit""},{""S"":""Source""},{""S"":""CTS_Code""},{""S"":""CTS_Name""},{""S"":""CTS_Full_Descriptor""},{""S"":""Trade_Flow""},{""S"":""Scale""},{""S"":""F1994""},{""S"":""F1995""},{""S"":""F1996""},{""S"":""F1997""},{""S"":""F1998""},{""S"":""F1999""},{""S"":""F2000""},{""S"":""F2001""},{""S"":""F2002""},{""S"":""F2003""},{""S"":""F2004""},{""S"":""F2005""},{""S"":""F2006""},{""S"":""F2007""},{""S"":""F2008""},{""S"":""F2009""},{""S"":""F2010""},{""S"":""F2011""},{""S"":""F2012""},{""S"":""F2013""},{""S"":""F2014""},{""S"":""F2015""},{""S"":""F2016""},{""S"":""F2017""},{""S"":""F2018""},{""S"":""F2019""},{""S"":""F2020""},{""S"":""F2021""},{""S"":""F2022""},{""S"":""F2023""}]","2085991","2143","2024-12-23T10:14:47.933128"
"marvel_list.csv","3","[{""S"":""hero1""},{""S"":""hero2""},{""S"":""counts""}]","4979742","142289","2024-12-23T10:11:33.031913"
